1, 22
2, 40
3, 48
4, 60
5, 61
6, 79
7, 90
8, 91
9, 100
10, 103
11, 115
12, 121
13, 149
14, 196
15, 201
16, 205
17, 216
18, 224
19, 244
20, 253
21, 265
22, 267
23, 271
24, 274
25, 283
26, 290
27, 311
28, 327
29, 344
30, 350
31, 371
32, 378
33, 397
34, 430
35, 448
36, 459
37, 460
38, 464
39, 470
40, 486
41, 487
42, 488
43, 489
44, 494
45, 501
46, 509
47, 516
48, 526
49, 527
50, 559
51, 560
52, 576
53, 577
54, 584
55, 589
56, 594
57, 609
58, 614
59, 621
60, 628
61, 629
62, 631
63, 635
64, 642
65, 648
66, 672
67, 674
68, 687
69, 690
70, 692
71, 701
72, 730
73, 731
74, 734
75, 735
76, 737
77, 743
78, 750
79, 772
80, 779
81, 809
82, 810
83, 844
84, 849
85, 856
86, 857
87, 860
88, 893
89, 894
90, 934
91, 951
92, 954
93, 960
94, 961
95, 970
96, 979
97, 981
98, 988
99, 993
100, 999
